,note_name,start_time,duration
0,D4,0.286,0.082
1,C4,0.378,0.15
2,C4,0.54,0.059
3,D4,0.635,0.113
4,G4,0.76,0.134
5,Ab4,1.078,0.201
6,Ab4,1.299,0.249
7,G4,2.384,0.5660000000000001
8,Gb4,3.036,0.174
9,Eb4,3.255,0.164
10,C4,3.443,0.195
11,C4,3.668,0.242
12,Bb3,3.9130000000000003,0.03699999999999974
13,Bb3,4.609,0.168
14,C4,4.824,0.081
15,D4,5.052,0.051
16,C4,5.108,0.068
17,D4,5.189,0.315
18,B3,5.527,0.039
19,B3,5.57,0.047
20,Db4,5.629,0.053
21,D4,5.697,0.095
22,D4,5.802,0.056
23,D4,5.882,0.06800000000000032
24,E4,6.307,0.158
25,F4,6.484,0.243
26,F4,6.747,0.20300000000000012
27,G4,7.191,0.241
28,Ab4,7.435,0.042
29,G4,7.483,0.038
30,Gb4,7.525,0.225
31,G4,7.773,0.145
32,G4,7.941,0.00900000000000016
33,Gb4,8.219,0.198
34,F4,8.432,0.092
35,G4,8.538,0.117
36,Ab4,8.672,0.083
37,G4,8.764,0.147
38,Ab4,8.923,0.026999999999999955
39,E4,9.186,0.052
40,B3,9.268,0.169
41,Ab3,9.483,0.169
42,Gb3,9.672,0.171
43,F3,9.862,0.0879999999999999
44,F3,10.129,0.15
45,F3,10.318,0.288
46,B3,11.086,0.083
47,Ab4,11.18,0.118
48,G4,11.326,0.219
49,G4,11.561,0.086
50,D4,11.663,0.152
51,Db5,11.822,0.082
52,Db5,11.922,0.0279999999999994
53,Db5,12.112,0.099
54,C5,12.214,0.115
55,G4,12.341,0.339
56,D4,12.688,0.177
57,A3,12.876,0.026
58,C4,12.947,0.0030000000000008215
59,B3,13.073,0.137
60,B3,13.389,0.26
61,G3,13.663,0.25
62,G3,14.238,0.331
63,G3,15.279,0.068
64,B3,15.358,0.121
65,G3,15.503,0.087
66,G3,15.602,0.158
67,C4,15.775,0.17499999999999966
68,B3,16.09,0.137
69,Bb3,16.232,0.224
70,A3,16.746,0.154
71,F3,17.092,0.164
72,D3,17.318,0.135
73,Bb2,17.499,0.145
74,Ab2,18.057,0.186
75,G2,18.257,0.155
76,Ab2,18.441,0.276
77,A2,19.074,0.043
78,G2,19.132,0.124
79,Gb2,19.271,0.09
80,Ab2,19.38,0.145
81,F2,19.543,0.138
82,D2,19.777,0.172999999999999
83,Db2,19.995,-0.045000000000001
84,Db2,20.003,0.212
85,C2,21.361,0.184
86,C2,21.557,0.15
87,C2,21.768,0.18199999999999933
88,C2,22.264,0.107
89,C2,22.501,0.229
90,Db2,22.758,0.076
91,C2,22.866,0.08400000000000034
92,Db2,23.078,0.201
93,Db2,23.299,0.249
